SolverIterations,BoxType,StackHeightMultiplier,Gravity,BoxDensity,FramesToSleep,FramesToCollapse,AmountThatSlept,SimulationTime
8,FlatBox,1,7,0.2,0,93,0,0.000408
9,FlatBox,1,7,0.2,0,95.7,0,0.000434
10,FlatBox,1,7,0.2,0,113.8,0,0.000422
11,FlatBox,1,7,0.2,0,117.3,0,0.000422
12,FlatBox,1,7,0.2,0,130.8,0,0.000407
13,FlatBox,1,7,0.2,0,134,0,0.000412
14,FlatBox,1,7,0.2,0,130.8,0,0.000413
6,BigFlatBox,1,7,0.2,0,276.7,0,0.000405
7,BigFlatBox,1,7,0.2,0,258.2,0,0.000496
8,BigFlatBox,1,7,0.2,0,294.3,0,0.000469
9,BigFlatBox,1,7,0.2,0,327,0,0.000475
10,BigFlatBox,1,7,0.2,0,353.4,0,0.000456
11,BigFlatBox,1,7,0.2,0,359.4,0,0.000437
12,BigFlatBox,1,7,0.2,0,398.1,0,0.00043
13,BigFlatBox,1,7,0.2,0,373.2,0,0.000476
14,BigFlatBox,1,7,0.2,0,441.1,0,0.000466
6,Cube,1.01,7,0.2,0,44.4,0,0.000412
7,Cube,1.01,7,0.2,0,49.4,0,0.00041
8,Cube,1.01,7,0.2,0,63.2,0,0.000408
9,Cube,1.01,7,0.2,0,59.2,0,0.000409
10,Cube,1.01,7,0.2,0,64.6,0,0.000413
11,Cube,1.01,7,0.2,0,65.7,0,0.000481
12,Cube,1.01,7,0.2,0,72,0,0.000411
13,Cube,1.01,7,0.2,0,74.1,0,0.000432
14,Cube,1.01,7,0.2,0,69.6,0,0.000467
6,FlatBox,1.01,7,0.2,0,80.3,0,0.000472
7,FlatBox,1.01,7,0.2,0,79.8,0,0.000421
8,FlatBox,1.01,7,0.2,0,99.5,0,0.00045
9,FlatBox,1.01,7,0.2,0,100.4,0,0.000454
10,FlatBox,1.01,7,0.2,0,98.9,0,0.000449
11,FlatBox,1.01,7,0.2,0,124.6,0,0.000456
12,FlatBox,1.01,7,0.2,0,133.2,0,0.00042
13,FlatBox,1.01,7,0.2,0,114.6,0,0.000417
14,FlatBox,1.01,7,0.2,0,132,0,0.000412
6,BigFlatBox,1.01,7,0.2,0,245.4,0,0.000416
7,BigFlatBox,1.01,7,0.2,0,289.2,0,0.000438
8,BigFlatBox,1.01,7,0.2,0,279.6,0,0.0004
9,BigFlatBox,1.01,7,0.2,0,310.7,0,0.000376
10,BigFlatBox,1.01,7,0.2,0,347.8,0,0.000305
11,BigFlatBox,1.01,7,0.2,0,277.3,0,0.000401
12,BigFlatBox,1.01,7,0.2,0,362.4,0,0.000441
13,BigFlatBox,1.01,7,0.2,0,392.1,0,0.000409
14,BigFlatBox,1.01,7,0.2,0,449.8,0,0.000441
6,Cube,1.02,7,0.2,0,43.3,0,0.000451
7,Cube,1.02,7,0.2,0,41.8,0,0.000432
8,Cube,1.02,7,0.2,0,47.2,0,0.000493
9,Cube,1.02,7,0.2,0,51,0,0.000418
10,Cube,1.02,7,0.2,0,56.5,0,0.000418
11,Cube,1.02,7,0.2,0,54.4,0,0.000416
12,Cube,1.02,7,0.2,0,58.6,0,0.00043
13,Cube,1.02,7,0.2,0,70.2,0,0.000504
14,Cube,1.02,7,0.2,0,70.1,0,0.000481
6,FlatBox,1.02,7,0.2,0,74.6,0,0.000416
7,FlatBox,1.02,7,0.2,0,93,0,0.000456
8,FlatBox,1.02,7,0.2,0,93.8,0,0.000411
9,FlatBox,1.02,7,0.2,0,103.3,0,0.000459
10,FlatBox,1.02,7,0.2,0,108.4,0,0.000447
11,FlatBox,1.02,7,0.2,0,117.1,0,0.000419
12,FlatBox,1.02,7,0.2,0,110,0,0.000418
13,FlatBox,1.02,7,0.2,0,144.5,0,0.000423
14,FlatBox,1.02,7,0.2,0,131.2,0,0.000424
6,BigFlatBox,1.02,7,0.2,0,279,0,0.000347
7,BigFlatBox,1.02,7,0.2,0,289.6,0,0.000357
8,BigFlatBox,1.02,7,0.2,0,302.1,0,0.000451
9,BigFlatBox,1.02,7,0.2,0,358,0,0.000439
10,BigFlatBox,1.02,7,0.2,0,410.6,0,0.000435
11,BigFlatBox,1.02,7,0.2,0,395.2,0,0.000418
12,BigFlatBox,1.02,7,0.2,0,453.1,0,0.000443
13,BigFlatBox,1.02,7,0.2,0,417.4,0,0.000428
14,BigFlatBox,1.02,7,0.2,0,317.1,0,0.000442
6,Cube,1,8,0.2,0,41.8,0,0.00046
7,Cube,1,8,0.2,0,44,0,0.00051
8,Cube,1,8,0.2,0,43.4,0,0.00043
9,Cube,1,8,0.2,0,54.7,0,0.000431
10,Cube,1,8,0.2,0,59.2,0,0.000427
11,Cube,1,8,0.2,0,58,0,0.000435
